,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
945,"More have to learn, to teach, supportive staff","Leaves problem, Mid-management are not good, Too much work with less people, attendance regularisation is very worst.",0,0,0,0,0,0,0,0
946,"Overall Infosys rating:
Teammates: Depends upon the project , mostly all are very cooperative and helpful.
Career growth: Depends on how we perform in our project and how updated we are with technology
Salary/appraisal: Depends on performance
Travel: Infosys is located in outskirts of city,so travel would be difficult but they have good transport facilities everywhere around the city.
Politics:No politics 
Learning: excellent learning programmes and training will be provided for fresher and experienced
Work environment: flexible
Work life balance: excellent facilities like swimming yoga aerobics sports gym all are there in very low price per month.","Travel,far from the city",0,0,0,0,0,0,0,0
947,The company is open to innovation and redily adopts latest technology.I love the fact that I am a part of a team.,Compensation is decent but growth is slow.,0,0,0,0,0,0,0,0
948,"We are interested and increasingsin knowledge and experience,
To develop the negotiation skills,","Reason to left jobs in personal reson,",0,0,0,0,0,0,0,0
949,"To serve nation, discipline, self-respect, and believe that first nation",Nothing,0,0,0,0,0,0,0,0
950,"Teamwork,Training,Job Security,Learning,Motivation to Sacrifice,High Aspiration,Health Consciousness,Environment Care.Cultured Behaviour, Women's Respect,Next Generation Development","Neglect by the Govt & Society,Degradation of Ranks ,Politicians & Bureaucrats take us for granted & take us for a ride  by giving peanuts benefits keeping best for themselves,Early Retirement,Poor Compensation,Unsettled family life.Society does not value the human sacrifice & discomforts,lowering us in protocols to worse after independance, we experience. World has changed to respect power of pen & money Simplicity & Sincerity to work round the clock in all environment with worst consequences are of no value.Many times we feel a smallest rung Clerk & small time  Business man is better today. Pages can be written, but I refrain.In nutshell,All that glitters is not gold. Fact of life is that MONEY  makes the Mare go.
For every little need to seek help from politicians & govt by Army Person it is nothing but humiliation.",0,0,0,0,0,0,0,0
951,It was a good day,Not survive long time,0,0,0,0,0,0,0,0
952,the way clients approached,politics,0,0,0,0,0,0,0,0
953,"Its my first experience with asahi and it is really wonderful. My teammates always ready to support here i learn much more, it is a best place for learn for   no fear for loose the job. In the staff each and every person always support no matter what designation he has.
Overall the best place to work for growth and learning...😆",My reason for only salary/increment process,0,0,0,0,0,0,0,0
954,Learning in extreme hard condition which teaches you hard instances of life specially for a G.E.T. Learning is all by yourself training doesn't help and also increment is below average,"Company work culture, and terrible work life balance.",0,0,0,0,0,0,0,0
955,Beginners it was good you will get learning. Long term perspective it's good if person join like Manager /Vice president level.,No tools of learning when i am working. HR don't have much rights.,0,0,0,0,0,0,0,0
956,"It was a really good experience.surrounded by good ppl called your team mates, safe and secured job",The dress code which makes a slight discomfort apart from that groth of yours would be slow,0,0,0,0,0,0,0,0
957,"UFlex is a global flexible packaging group company.The company is opened to innovation and adopts the latest technology.
I was a part of r&d team which was executed new development samples.","Compensation was decent, but growth was very very slow.work pressure was very high sometimes due to unplanned the jobs.",0,0,0,0,0,0,0,0
958,Good pay master,Growth and career progression,0,0,0,0,0,0,0,0
959,The finest startup by the finest bosses. The only thing want to say... the best reporting managers have ever got,Nothing,0,0,0,0,0,0,0,0
960,I have enjoyed my time in TCS. All are open to help each other. Faced challenges that helped me to discover my own additional abilities. Good and friendly corporate culture. Good perks. Working with clients helped to improve business relations and communication by dealing the requirements. Lot to learn from every person in the ODC. Certifications courses.,Job is secured. Decent pay but the company does not care about employees domain knowledge. Had to work overtime even when not required.,0,0,0,0,0,0,0,0
961,Travel,Zero job security,0,0,0,0,0,0,0,0
962,Training,Job security,0,0,0,0,0,0,0,0
963,"WHEN I TOOK A JOB IN TCS I'VE DECIDED NOT TO QUIT FROM THIS ORGANIZATION AND TAKING IT AS A ONE TIME CAREER OPPORTUNITY AND WORKED REALLY HARD TO FIND A BETTER POSITION OR ROLE IN MY FIRST TEAM AND AFTER ACHIEVING IT I GOT MOVED TO ONE ANOTHER TEAM WHERE THE CIRCUMSTANCES AREN'T REALLY ON MY SIDE DUE TO PROCESS MIGRATION I WAS MOVED ALONG WITH ALL MY TEAM MEMBERS BUT STILL GOT PLACED IN A GOOD TEAM RIGHT NOW AND I'M WORKING WITH THE GOOD PEOPLE SURROUNDED BY ME.
THIS STORY COULD REVEAL THAT TCS IS A PLACE WHERE YOU CAN GET LEARNING, GET TO KNOW NEW WORLD OF CORPORATE BUSINESSES, CHALLENGING ENVIRONMENT TO IMPROVE OURSELVES, LAST RESORT FOR ALL THE EMPLOYEES PERSONAL FINANCIAL ASSISTANCE, A VERY GOOD PLATFORM FOR ALL THE DEEDS ANS NEEDS, RIGHT PLACE TO EXPLORE AND EVOLVE AROUND THE GLOBE AND MORE LIKELY A FAMILY..,",ALL THE ABOVE SAID COMMENTS ARE TRUE TO MY KNOWLEDGE AND EXPERIENCE BUT IT WAS NOT APPLICABLE OR AVAILABLE FOR SOME PEOPLE WHO ARE NOT ABLE TO COPE UP THE CULTURE IN TCS.,0,0,0,0,0,0,0,0
964,Everything,Nothing,0,0,0,0,0,0,0,0
965,Job security,UFLEX is for those who do not learn any thing in their graduation. Because work can be done by 10th pass' guy also.,0,0,0,0,0,0,0,0
966,Very good to good,No one,0,0,0,0,0,0,0,0
967,Learning Facility and Job Security.,Job Flexibility and Work-life balance.,0,0,0,0,0,0,0,0
968,"When it comes to say something good about Tata Motors , A word comes in my mind i.e - Ethics.. The company has very good culture for all the employees , It gives an equal opportunity for everyone to show their talent . Here the job is challenging, Innovoative, Freedom, Supporting culture from top management to ground level . You will enjoy working here if you are a leader from begining ... 
Company gives training wherever necessary..
Medical expenses are very good.
Last but not least the company has very good safety culture- A safe company to work with. 😊
I m proud that I work for this company.","There are no dislikes when it comes to say about the brand Tata Motors. 
Every company has a good vission and mission but it is we- are responsible for any bad names which comes to brand.
Employee should take care of the dignity of the company..",0,0,0,0,0,0,0,0
969,"Opportunity to learn and grow, good pay, good work culture.",Nothing,0,0,0,0,0,0,0,0
970,Overall excellent in learning and skill development type experience,Myself like working culture,0,0,0,0,0,0,0,0
971,Nothing is good about the company. Its the worst company i had ever worked. People in the organisations are more involved in playing politics and biased.,People play lot of politics and biased.,0,0,0,0,0,0,0,0
972,"The work satisfaction is good , but the company not exactly know what is the exact criteria for employees grade updation & promotion. 
Company believe only for completing client commitment at any how, whether the manpower is available or not.. 
work load pressure is there..
Expanse is very different (almost double) from office to Office in ahmedabad Office & Mumbai Office for same grade, & same experienced person..","Salary,  appraisal , Insurance policy,",0,0,0,0,0,0,0,0
